Date,SecurityInBan
2010-10-13,EKC
2010-10-13,ESSAROIL
2010-10-13,JINDALSWHL
2010-10-13,PUNJLLOYD
2010-10-13,RELMEDIA
2010-10-13,ISPATIND
2010-10-13,ORCHIDCHEM
2010-10-14,PUNJLLOYD
2010-10-14,RELMEDIA
2010-10-14,NAGARFERT
2010-10-14,KFA
2010-10-14,JINDALSWHL
2010-10-14,ISPATIND
2010-10-14,ESSAROIL
2010-10-14,EKC
2010-10-14,COREPROTEC
2010-10-14,ORCHIDCHEM
2010-10-15,KFA
2010-10-15,ISPATIND
2010-10-15,COREPROTEC
2010-10-15,JINDALSWHL
2010-10-15,RELMEDIA
2010-10-15,ESSAROIL
2010-10-18,ABAN
2010-10-18,COREPROTEC
2010-10-18,ORCHIDCHEM
2010-10-18,ISPATIND
2010-10-18,KFA
2010-10-18,VIJAYABANK
2010-10-18,JINDALSWHL
2010-10-19,ORCHIDCHEM
2010-10-19,COREPROTEC
2010-10-19,KFA
2010-10-19,ABAN
2010-10-19,JINDALSWHL
2010-10-19,ISPATIND
2010-10-20,SUZLON
2010-10-20,ABAN
2010-10-20,ORCHIDCHEM
2010-10-20,ISPATIND
2010-10-20,COREPROTEC
2010-10-20,KFA
2010-10-20,JINDALSWHL
2010-10-21,ISPATIND
2010-10-21,COREPROTEC
2010-10-21,ORCHIDCHEM
2010-10-21,ABAN
2010-10-21,SUZLON
2010-10-22,ISPATIND
2010-10-22,SUZLON
2010-10-22,ORCHIDCHEM
2010-10-22,COREPROTEC
2010-10-22,RELMEDIA
2010-10-25,ESSAROIL
2010-10-25,COREPROTEC
2010-10-25,ABAN
2010-10-25,RELMEDIA
2010-10-25,NAGARFERT
2010-10-25,ORCHIDCHEM
2010-10-25,ISPATIND
2010-10-26,ABAN
2010-10-26,COREPROTEC
2010-10-26,RELMEDIA
2010-10-26,EKC
2010-10-26,ESSAROIL
2010-10-26,ISPATIND
2010-10-26,NAGARFERT
2010-10-27,EKC
2010-10-27,COREPROTEC
2010-10-27,CHAMBLFERT
2010-10-27,ABAN
2010-10-27,ESSAROIL
2010-10-27,RELMEDIA
2010-10-27,ISPATIND
2010-10-27,JINDALSWHL
2010-10-27,NAGARFERT
2010-10-27,ORCHIDCHEM
2010-10-28,ESSAROIL
2010-10-28,EKC
2010-10-28,KFA
2010-10-28,NAGARFERT
2010-10-28,ISPATIND
2010-10-28,COREPROTEC
2010-10-28,ORCHIDCHEM
2010-10-28,RELMEDIA
2010-10-28,ABAN
2010-10-28,JINDALSWHL
2010-10-29,COREPROTEC
2010-10-29,JINDALSWHL
2010-10-29,ORCHIDCHEM
2010-11-01,COREPROTEC
2010-11-01,JINDALSWHL
2010-11-02,COREPROTEC
2010-11-02,ORCHIDCHEM
2010-11-03,ORCHIDCHEM
2010-11-03,KSOILS
2010-11-03,COREPROTEC
2010-11-04,KSOILS
2010-11-04,ORCHIDCHEM
2010-11-04,COREPROTEC
2010-11-05,COREPROTEC
2010-11-05,ORCHIDCHEM
2010-11-05,ESSAROIL
2010-11-05,KSOILS
2010-11-08,RELMEDIA
2010-11-08,KSOILS
2010-11-08,COREPROTEC
2010-11-08,ORCHIDCHEM
2010-11-08,ESSAROIL
2010-11-09,ORCHIDCHEM
2010-11-09,COREPROTEC
2010-11-09,RELMEDIA
2010-11-09,KSOILS
2010-11-09,KFA
2010-11-09,ESSAROIL
2010-11-10,CHAMBLFERT
2010-11-10,COREPROTEC
2010-11-10,RELMEDIA
2010-11-10,ORCHIDCHEM
2010-11-10,KSOILS
2010-11-10,ESSAROIL
2010-11-10,KFA
2010-11-11,ESSAROIL
2010-11-11,CHAMBLFERT
